"","LL","PS","HL","SSS","PR","SR","Yield"
"3326",333333333.777778,10000.7777777778,6333334,3333334,3766606102.88924,2975671644.35561,1546045.13881532
"3331",1,15000.6666666667,6333334,3333334,2300701953.70884,2016893950.40672,1489262.85645898
"3332",66666667.5555556,15000.6666666667,6333334,3333334,2632927374.47921,2232934978.82221,1533751.16849728
"3333",133333334.111111,15000.6666666667,6333334,3333334,2958894222.86777,2444578166.34796,1577512.4919903
"3334",200000000.666667,15000.6666666667,6333334,3333334,3278967434.40673,2652081344.06404,1620590.85447277
"3335",266666667.222222,15000.6666666667,6333334,3333334,3593482514.28713,2855681473.43208,1663026.70064501
"3336",333333333.777778,15000.6666666667,6333334,3333334,3902748291.81413,3055596602.39245,1704857.22843516
"3341",1,20000.5555555556,6333334,3333334,2446604428.28312,2102606900.01397,1639916.13739881
"3342",66666667.5555556,20000.5555555556,6333334,3333334,2772342812.42207,2314015260.88436,1683441.33230323
"3343",133333334.111111,20000.5555555556,6333334,3333334,3092034430.32208,2521177555.88792,1726272.07475553
"3344",200000000.666667,20000.5555555556,6333334,3333334,3406028167.01179,2724340096.88147,1768450.04446953
"3345",266666667.222222,20000.5555555556,6333334,3333334,3714644905.20191,2923729350.94305,1810013.54128096
"3346",333333333.777778,20000.5555555556,6333334,3333334,4018180135.65078,3119553793.11917,1850997.80107661
"3351",1,25000.4444444444,6333334,3333334,2573293086.86332,2173533346.9119,1779103.21287682
"3352",66666667.5555556,25000.4444444444,6333334,3333334,2892700042.31039,2380422267.68997,1821695.48401688
"3353",133333334.111111,25000.4444444444,6333334,3333334,3206263108.17815,2583210388.02145,1863624.21303028
"3354",200000000.666667,25000.4444444444,6333334,3333334,3514315872.9996,2782133048.67406,1904928.85875119
"3355",266666667.222222,25000.4444444444,6333334,3333334,3817165278.80542,2977406718.1069,1945645.69145735
"3361",1,30000.3333333333,6333334,3333334,2682709819.99666,2231167257.07053,1908003.25173698
"3362",66666667.5555556,30000.3333333333,6333334,3333334,2995935522.15734,2433645912.40116,1949691.49500389
"3363",133333334.111111,30000.3333333333,6333334,3333334,3303511686.12747,2632162822.32657,1990745.56455593
"3364",200000000.666667,30000.3333333333,6333334,3333334,3605757321.10612,2826942877.55757,2031202.81831913
"3365",266666667.222222,30000.3333333333,6333334,3333334,3902966077.19761,3018193019.38038,2071097.60603193
"3401",1,1,8444445,3333334,2060946133.15341,1975302193.93304,1019485.63385334
"3402",66666667.5555556,1,8444445,3333334,2406483809.23632,2199968501.02983,1066187.96142473
"3403",133333334.111111,1,8444445,3333334,2745513052.57261,2420074167.25121,1112110.20177186
"3404",200000000.666667,1,8444445,3333334,3078413827.43585,2635887610.58123,1157299.5102159
"3405",266666667.222222,1,8444445,3333334,3405535751.58644,2847655708.07987,1201799.25333333
"3406",333333333.777778,1,8444445,3333334,3727200896.46036,3055605787.21282,1245649.35884819
"3411",1,5000.88888888889,8444445,3333334,2272561335.44592,2110344429.59611,1212410.91954119
"3412",66666667.5555556,5000.88888888889,8444445,3333334,2611349533.15024,2330206348.14754,1258091.34297976
"3413",133333334.111111,5000.88888888889,8444445,3333334,2943851078.17378,2545666315.5366,1303026.57106409
"3414",200000000.666667,5000.88888888889,8444445,3333334,3270429265.13133,2756980780.9289,1347261.26929887
"3415",266666667.222222,5000.88888888889,8444445,3333334,3591418505.20805,2964385703.73571,1390836.52647359
"3421",1,10000.7777777778,8444445,3333334,2457441445.35404,2224835380.01758,1389239.14385499
"3422",66666667.5555556,10000.7777777778,8444445,3333334,2789643257.70448,2440011187.87632,1433930.0301458
"3423",133333334.111111,10000.7777777778,8444445,3333334,3115770866.99309,2650936936.72556,1477908.88197264
"3424",200000000.666667,10000.7777777778,8444445,3333334,3436171676.55592,2857857673.13933,1521218.00822034
"3425",266666667.222222,10000.7777777778,8444445,3333334,3751165596.0065,3060998951.83115,1563896.34107917
"3431",1,15000.6666666667,8444445,3333334,2618494751.94519,2321012698.01632,1551742.24761079
