,LL,PS,HL,SSS,PR,SR,Yield
185,126315790.3,21316.31579,1,1,1940391627,1356117752,1110417.971
186,157894737.6,21316.31579,1,1,2103001354,1463484688,1132040.558
187,189473684.9,21316.31579,1,1,2264067243,1569753094,1153485.552
188,221052632.2,21316.31579,1,1,2423635225,1674955581,1174758.421
189,252631579.5,21316.31579,1,1,2581749329,1779123409,1195864.406
190,284210526.8,21316.31579,1,1,2738451771,1882286554,1216808.531
191,315789474.2,21316.31579,1,1,2893783046,1984473767,1237595.612
192,347368421.5,21316.31579,1,1,3047782007,2085712634,1258230.268
193,378947368.8,21316.31579,1,1,3200485945,2186029632,1278716.931
194,410526316.1,21316.31579,1,1,3351930662,2285450183,1299059.854
195,442105263.4,21316.31579,1,1,3502150543,2383998702,1319263.121
196,473684210.7,21316.31579,1,1,3651178622,2481698642,1339330.652
197,505263158.1,21316.31579,1,1,3799046640,2578572542,1359266.213
198,536842105.4,21316.31579,1,1,3945785110,2674642068,1379073.423
199,568421052.7,21316.31579,1,1,4091423371,2769928052,1398755.758
201,1,23684.68421,1,1,1380299209,989203791.6,1114418.512
202,31578948.32,23684.68421,1,1,1547945807,1100134650,1136566.659
203,63157895.63,23684.68421,1,1,1713873855,1209843315,1158517.383
204,94736842.95,23684.68421,1,1,1878136745,1318367685,1180277.02
205,126315790.3,23684.68421,1,1,2040785592,1425744040,1201851.633
206,157894737.6,23684.68421,1,1,2201869346,1532007124,1223247.027
207,189473684.9,23684.68421,1,1,2361434902,1637190220,1244468.759
208,221052632.2,23684.68421,1,1,2519527199,1741325228,1265522.155
209,252631579.5,23684.68421,1,1,2676189318,1844442725,1286412.316
210,284210526.8,23684.68421,1,1,2831462574,1946572036,1307144.133
211,315789474.2,23684.68421,1,1,2985386598,2047741291,1327722.297
212,347368421.5,23684.68421,1,1,3137999419,2147977484,1348151.305
213,378947368.8,23684.68421,1,1,3289337542,2247306525,1368435.475
214,410526316.1,23684.68421,1,1,3439436020,2345753295,1388578.948
215,442105263.4,23684.68421,1,1,3588328517,2443341690,1408585.702
216,473684210.7,23684.68421,1,1,3736047380,2540094670,1428459.556
217,505263158.1,23684.68421,1,1,3882623695,2636034300,1448204.178
218,536842105.4,23684.68421,1,1,4028087347,2731181793,1467823.095
219,568421052.7,23684.68421,1,1,4172467072,2825557547,1487319.694
221,1,26053.05263,1,1,1481375547,1058943243,1203341.236
222,31578948.32,26053.05263,1,1,1647403051,1168703259,1225248.829
223,63157895.63,26053.05263,1,1,1811741492,1277262388,1246963.47
224,94736842.95,26053.05263,1,1,1974443089,1384657680,1268491.323
225,126315790.3,26053.05263,1,1,2135557836,1490924612,1289838.291
226,157894737.6,26053.05263,1,1,2295133617,1596097159,1311010.022
227,189473684.9,26053.05263,1,1,2453216311,1700207874,1332011.927
228,221052632.2,26053.05263,1,1,2609849886,1803287958,1352849.19
229,252631579.5,26053.05263,1,1,2765076501,1905367323,1373526.777
230,284210526.8,26053.05263,1,1,2918936585,2006474658,1394049.452
231,315789474.2,26053.05263,1,1,3071468929,2106637487,1414421.781
232,347368421.5,26053.05263,1,1,3222710757,2205882225,1434648.145
233,378947368.8,26053.05263,1,1,3372697805,2304234228,1454732.748
234,410526316.1,26053.05263,1,1,3521464391,2401717848,1474679.623
235,442105263.4,26053.05263,1,1,3669043478,2498356475,1494492.646
236,473684210.7,26053.05263,1,1,3815466741,2594172585,1514175.537
237,505263158.1,26053.05263,1,1,3960764625,2689187782,1533731.869
238,536842105.4,26053.05263,1,1,4104966399,2783422836,1553165.079
239,568421052.7,26053.05263,1,1,4248100212,2876897721,1572478.467
241,1,28421.42105,1,1,1577031630,1124399354,1288974.733
242,31578948.32,28421.42105,1,1,1741460053,1233003315,1310645.65
243,63157895.63,28421.42105,1,1,1904228280,1340427237,1332127.972
244,94736842.95,28421.42105,1,1,2065387383,1446707349,1353427.7
245,126315790.3,28421.42105,1,1,2224986263,1551878337,1374550.577
246,157894737.6,28421.42105,1,1,2383071764,1655973431,1395502.102
247,189473684.9,28421.42105,1,1,2539688770,1759024468,1416287.541
248,221052632.2,28421.42105,1,1,2694880303,1861061967,1436911.941
249,252631579.5,28421.42105,1,1,2848687618,1962115191,1457380.139
250,284210526.8,28421.42105,1,1,3001150283,2062212208,1477696.77
251,315789474.2,28421.42105,1,1,3152306264,2161379950,1497866.283
252,347368421.5,28421.42105,1,1,3302191999,2259644264,1517892.944
253,378947368.8,28421.42105,1,1,3450842475,2357029968,1537780.846
254,410526316.1,28421.42105,1,1,3598291289,2453560895,1557533.919
255,442105263.4,28421.42105,1,1,3744570720,2549259942,1577155.937
256,473684210.7,28421.42105,1,1,3889711787,2644149114,1596650.525
257,505263158.1,28421.42105,1,1,4033744305,2738249559,1616021.164
258,536842105.4,28421.42105,1,1,4176696944,2831581617,1635271.2
261,1,30789.78947,1,1,1667530246,1185779064,1371481.693
262,31578948.32,30789.78947,1,1,1830379246,1293241487,1392919.727
263,63157895.63,30789.78947,1,1,1991596312,1399544277,1414173.415
264,94736842.95,30789.78947,1,1,2151231394,1504722857,1435248.597
265,126315790.3,30789.78947,1,1,2309332328,1608811146,1456150.863
266,157894737.6,30789.78947,1,1,2465944938,1711841641,1476885.564
267,189473684.9,30789.78947,1,1,2621113140,1813845483,1497457.829
268,221052632.2,30789.78947,1,1,2774879031,1914852525,1517872.568
269,252631579.5,30789.78947,1,1,2927282982,2014891394,1538134.493
270,284210526.8,30789.78947,1,1,3078363720,2113989555,1558248.116
271,315789474.2,30789.78947,1,1,3228158406,2212173357,1578217.77
272,347368421.5,30789.78947,1,1,3376702710,2309468098,1598047.608
273,378947368.8,30789.78947,1,1,3524030883,2405898065,1617741.618
274,410526316.1,30789.78947,1,1,3670175823,2501486587,1637303.628
275,442105263.4,30789.78947,1,1,3815169137,2596256078,1656737.313
276,473684210.7,30789.78947,1,1,3959041201,2690228081,1676046.204
277,505263158.1,30789.78947,1,1,4101821220,2783423303,1695233.694
278,536842105.4,30789.78947,1,1,4243537273,2875861659,1714303.042
281,1,33158.15789,1,1,1753118814,1243277222,1451015.234
282,31578948.32,33158.15789,1,1,1914407704,1349612365,1472224.097
283,63157895.63,33158.15789,1,1,2074092328,1454807845,1493252.756
284,94736842.95,33158.15789,1,1,2232221543,1558898300,1514106.896
285,126315790.3,33158.15789,1,1,2388842142,1661916900,1534791.955
286,157894737.6,33158.15789,1,1,2543998956,1763895427,1555313.145
287,189473684.9,33158.15789,1,1,2697734954,1864864341,1575675.456
288,221052632.2,33158.15789,1,1,2850091329,1964852846,1595883.671
289,252631579.5,33158.15789,1,1,3001107589,2063888949,1615942.374
290,284210526.8,33158.15789,1,1,3150821638,2161999520,1635855.963
291,315789474.2,33158.15789,1,1,3299269851,2259210347,1655628.653
292,347368421.5,33158.15789,1,1,3446487148,2355546184,1675264.491
293,378947368.8,33158.15789,1,1,3592507063,2451030804,1694767.361
294,410526316.1,33158.15789,1,1,3737361806,2545687042,1714140.991
295,442105263.4,33158.15789,1,1,3881082330,2639536840,1733388.961
296,473684210.7,33158.15789,1,1,4023698383,2732601289,1752514.71
297,505263158.1,33158.15789,1,1,4165238570,2824900665,1771521.545
298,536842105.4,33158.15789,1,1,4305730397,2916454471,1790412.641
301,1,35526.52632,1,1,1834030418,1297077402,1527719.546
302,31578948.32,35526.52632,1,1,1993778170,1402299264,1548702.868
303,63157895.63,35526.52632,1,1,2151948745,1506401012,1569510.027
304,94736842.95,35526.52632,1,1,2308589933,1609416512,1590146.552
305,126315790.3,35526.52632,1,1,2463747508,1711378205,1610617.739
